movie_title,year,place,star_cast,rating,vote,link
Kimi no na wa,2016,75,"Makoto Shinkai (dir.), Ryûnosuke Kamiki, Mone Kamishiraishi",8.319915393510014,176946,/title/tt5311514/
Coco,2017,76,"Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal",8.313931287314418,350328,/title/tt2380307/
American Beauty,1999,77,"Sam Mendes (dir.), Kevin Spacey, Annette Bening",8.308180968131998,1047300,/title/tt0169547/
Braveheart,1995,78,"Mel Gibson (dir.), Mel Gibson, Sophie Marceau",8.303023447174981,940228,/title/tt0112573/
3 Idiots,2009,79,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan",8.30103360742269,331106,/title/tt1187043/
Das Boot,1981,80,"Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer",8.299583568993956,225905,/title/tt0082096/
Toy Story,1995,81,"John Lasseter (dir.), Tom Hanks, Tim Allen",8.295847977458191,862612,/title/tt0114709/
Tengoku to jigoku,1963,82,"Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada",8.294949078152856,30959,/title/tt0057565/
Amadeus,1984,83,"Milos Forman (dir.), F. Murray Abraham, Tom Hulce",8.289494028282688,360284,/title/tt0086879/
Taare Zameen Par,2007,84,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan",8.289087246609778,161198,/title/tt0986264/
Star Wars: Episode VI - Return of the Jedi,1983,85,"Richard Marquand (dir.), Mark Hamill, Harrison Ford",8.286558728460657,926347,/title/tt0086190/
Inglourious Basterds,2009,86,"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger",8.28386649585292,1226848,/title/tt0361748/
Reservoir Dogs,1992,87,"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth",8.282320740519417,894671,/title/tt0105236/
Good Will Hunting,1997,88,"Gus Van Sant (dir.), Robin Williams, Matt Damon",8.279514566106702,835283,/title/tt0119217/
Capharnaüm,2018,89,"Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw",8.277263134346002,52543,/title/tt8267604/
